codice_prodotto,descrizione_prodotto,capacita_kg_h
WSDHRPPC1400500A,Semilavorato Artiglio del diavolo radice e.s. >= 2.5% arpagodside,20
WSDZZZZC3200000A,Semilavorato Acido ascorbico             polvere micronizzata,20
WSDTRXOC14R0400A,Semilavorato Tarassaco radice estratto   secco D/E 4:1,20
WSDMDBAC05R1000A,Semilavorato Mela annurca e.s. acquoso   frutto D/E 10:1,20
WSDPLLCC17R0200A,Semilavorato Guarana' seme e.s.          D/E 2:1,20
WSDMLVSC24R0400A,Semilavorato Malva fiori/foglie e.s.,20
WSDFLPUC07R0400A,Semilavorato Spirea erba (sommita') e.s. D/E 4:1,20
YSDPLLCC1722000N,"Semilavorato Guarana' seme               estratto secco 22,0%      caffeina naturale - >=3,0% caffeina nativa",20
WSDMLSOC08R0400A,Semilavorato Melissa foglia e.s. D/E 4:1,20
YLCPROPC2700000A,Semilavorato Propoli granulato solubile  1000 microns,20
WSDECHUC07R0400A,Semilavorato Echinacea purpurea erba     estratto secco D/E 4:1,20
WSDRBSNC08R0300A,Semilavorato Ribes nero foglia e.s.,20
WSDFNCOC17R0200A,Semilavorato Finocchio dolce seme e.s.,20
WSDACHMC34R0200A,Semilavorato Achillea sommità erba fior  estratto secco D/E 2:1,20
WSDTRXOC08R0200A,Semilavorato Tarassaco foglia estratto   secco,20
WSDHLCIL04R0200A,Semilavorato Elicriso erba fiorita       e. secco Locale,20
WSDPSSIC07R0400A,Semilavorato Passiflora erba fiorita e.s D/E 4:1,20
WSDSSYOC34R0400A,Semilavorato Erisimo sommita' fiorita    estratto secco  D/E 4:1,20
WSDHMLLC09R0400A,Semilavorato Luppolo infiorescenze       (strobili) estr.  secco D/E 4:1,20
WSDECHUC14R0200A,Semilavorato Echinacea purpurea radice   estratto secco,20
WSDEQSAC0707000N,"Semilavorato Equiseto erba e.s.          >=7,0% silice",20
WSDURTDC08R0200A,Semilavorato Ortica foglia estratto secc,20
WGLANNCC05R4100A,Semilavorato Ananas HRD,20
WSDMLLOC2202000A,Semilavorato Meliloto erba fiorita e.s.,20
WSDEQSAC07R0300A,Semilavorato Equiseto erba e.s.,20
WSDVTSTC08R0200A,Semilavorato Vite rossa foglia e.s.,20
WSDCLNTC17R0200A,Semilavorato Cola noci seme e.s. solubil D/E 2:1 2 % caffeina,20
WSDRBSNC08R1000A,Semilavorato Ribes nero foglia e.s.       D/E 10:1,20
WSDARCLC14R0400A,Semilavorato Bardana radice estratto sec D/E 4:1,20
WSDORTSC08R0300A,Semilavorato Ortosiphon foglia e.s.,20
WSDGLYGC14R0400A,Semilavorato Liquirizia radice e.s.      D/E 4:1,20
WSDHDRHC08R0400A,Semilavorato Edera foglia e.s. D/E 4:1,20
WSDLYCBC05R0400A,Semilavorato Goji frutto e.s. solubile    D/E 4:1,20
YGLBSWSC2765000A,"Semilavorato Boswellia resina estr. secc >=65,0% acidi boswellici",20
WSDPHSVC17R1000A,Semilavorato Fagiolo seme e.s. D/E 10:1,20
YSDORTSC2200200A,"Semilavorato Ortosifon erba con fiori    estratto secco >=0,2% flavonoidi totali come sinensetina",20
WSDTRGFC1700000A,Semilavorato Fieno greco seme es,20
WSDALTOC14R0400A,Semilavorato Altea radice estratto secco D/E 4:1,20
WSDARCLC1400000A,Semilavorato Bardana radice estratto sec,20
WSDTNCPF08R0400A,Semilavorato Tanaceto Partenio erba fior e.s. D/E 4:1 da Filiera Certificata ISO 22005,20
WSDANGAC14R0200A,Semilavorato Angelica Archangelica radic e.s.,20
WSDESCCC0702000A,"Semilavorato Escolzia erba e.s.           >=2,0% flavonoidi tot. calc.come rutina",20
WSDHRCPC0700000A,Semilavorato Pilosella Erba e.s.,20
WSDMTRCC03R0400A,Semilavorato Camomilla fiore estratto     D/E 4:1,20
YSDBTLAC08R0400A,Semilavorato Betulla foglie estratto sec,20
WSDPLNMC08R0400A,Semilavorato Piantaggine foglia e.s.,20
WSDCTRGC1700000A,Semilavorato Pompelmo seme e.s.,20
WSDGRNRF2200000A,Semilavorato GRINDELIA ERBA FIORITA E.S.  FILIERA CERTIFICATA ISO 22005,20
WSDSLDVC22R0400A,Semilavorato Verga d' oro parti aeree     (erba fiorita) estratto secco D/E 4:1,20
WSDSMBNC0400300A,"Semilavorato Sambuco fiore e.s. solubile  >=0,3% flavonoidi tot. calc. come iperoside",20
WSDRSMOC08R0400A,Semilavorato Rosmarino foglia e.s.       D/E 4:1,20
WSDCRNSC05R0400A,Semilavorato Coriandolo frutto e.s.      D/E 4:1,20
WSDMLSOF0804000A,"Semilavorato Melissa foglia e.s.>= 4,0%   ac. rosmarinico (HPLC) da Filiera Certificata ISO 22005",20
WSDTLSPC04R0200A,Semilavorato Tiglio fiore estratto secco 2:1,20
WSDCHRAC07R0400A,Semilavorato Crisantello erba e.s.       D/E 4:1,20
WSDMLSOC0805000A,"Semilavorato Melissa foglia e.s.acquoso  >= 5,0% derivati idrossicinnamici tot. calc.come acido rosmarinico (HPLC)",20
WSDRSCNC05R0400A,Semilavorato Rosa canina frutto e.s. D/E 4:1,20
WSDPMPAC05R0400A,Semilavorato Anice verde frutto e.s. D/E 4:1,20
YSDCLNOC04R1000A,Semilavorato Calendula fiori e.s. D/E 10,20
YSDMNTPC08R0400A,Semilavorato Menta foglie estratto secco  D/E 4:1,20
WSDPNCMC17R0200A,Semilavorato Miglio semi e.s.,20
WSDCRCLC15R0300A,Semilavorato Curcuma rizoma e.s.,20
WSDPPVRC04R0400A,Semilavorato Papavero fiore e.s.         Polvere micronizzato,20
WSDPLLNC31R0300A,Semilavorato Polline naturale granuli es,20
WSDVCCMC3601000A,Semilavorato Mirtillo  succo essiccato,20
WSDCNCSC02R0400A,Semilavorato China (Cinchona Succirubra) corteccia  e. s.,20
WSDCFFTC3220000A,"Semilavorato CAFFTOP® HRD -Miscela solub granulata >=20,0% caffeina",20
YSDHDRHC0801000A,"Semilavorato Edera foglia estratto       secco >=1,0% ederacoside C",20
WSDECLGC08R0200A,Semilavorato Eucalipto foglia e.s.,20
YSDMTRCC0400300A,"Semilavorato Camomilla (Matricaria)      fiori estratto   secco >= 0,3% apigenine totali",20
WGLBRSIC0800500A,"Semilavorato BROCCOX® Broccoli parte aer con fiori  estratto solubile granulato 0,3% - 0,5% sulforafano",20
WSDGLGOC07R0400A,Semilavorato Galega erba fiorita e.s.     D/E 4:1,20
WSDVLTRC22R0200A,Semilavorato Viola tricolor erba fiorita estr.secco,20
WSDTMRIC05R0200A,Semilavorato Tamarindo frutto estratto   secco acquoso,20
WSDARMRC13R0400A,Semilavorato Rafano radice e.s.          D/E 4:1,20
WSDCHCIC14R0200A,Semilavorato Cicoria radice e.s.         D/E 2:1,20
WSDVTXAC05R0300A,Semilavorato Agnocasto frutto e.s.,20
WSDPTYOC02R0400A,Semilavorato Muira Puama corteccia e.s.  D/E 4:1,20
WSDCNNZC02R0200A,Semilavorato Cannella corteccia e.s.      D/E 2:1,20
WSDMRRVC10R0200A,Semilavorato Marrubio bianco parti aeree  estratto secco D/ 2:1,20
WSDRHMFC0206000A,Semilavorato Frangula corteccia e.s.>=   6.0% glucofranguline calcolate come glucofrangulina A,20
WSDORGML10R0200A,Semilavorato Maggiorana parti aeree      e.s. Locale D/E 2:1,20
WSDCCRMC17R0400A,Semilavorato Zucca seme e.s.              4:1 (indicativo),20
WSDALTOC14R0200A,Semilavorato Altea radice estratto secco,20
WSDTHYVC08R0200A,Semilavorato Timo pianta (parte aerea)   estratto seccoD/E 2:1,20
WSDEPLAC07R0400A,Semilavorato Epilobio (angustifolium)    erba estratto secco D/E 4:1,20
WSDMRNOC08R0400A,Semilavorato Moringa oleifera foglie e.s  4:1,20
WSDVRBTC04R0300A,Semilavorato Verbasco fiore estr.secco,20
WSDONNSC14R0400A,Semilavorato Ononide radice e.s. D/E 4:1,20
YSDGRNRC2200200A,"Semilavorato Grindelia erba fiorita estr secco >= 0,25% flavonoidi tot. calc. come iperoside",20
WSDARNMC04R0400A,Semilavorato Arnica Montana fiori E.S.,20
WSDHMLLC09R0200A,Semilavorato Luppolo infioresc. e.s.,20
WSDCRMCC05R0400A,Semilavorato Carvi frutti e.s. D/E 4:1,20
YGLMDBAC05R1000A,Semilavorato Mela annurca e.s. frutto    D/E 10:1,20
WSDTRNAC08R0400A,Semilavorato Damiana foglia estratto     secco D/E 4:1,20
WSDADNCC07R0400A,Semilavorato Capelvenere erba e.s.       D/E 4:1,20
WSDSLVOC08R0400A,Semilavorato Salvia foglia e.s. D/E 4:1,20
WSDCMNMC05R0400A,Semilavorato Cumino seme (frutto)        estratto secco D/E 4:1,20
WSDDSMAC08R0400A,Semilavorato Desmodio foglia e.s.        solubile D/E 4:1,20
WSDORGVC08R0400A,Semilavorato Origano foglia e.s. D/E 4:1,20
WSDMLSPC05R0400A,Semilavorato Mela frutto e.s. D/E 4:1,20
WSDASPLC08R0400A,Semilavorato Rooibos foglia estratto sec D/E 4:1,20
WSDSLVOC0800500A,Semilavorato Salvia foglie e.s.          acquoso 0.5%-1% tot. idross. come ac. rosmarinico,20
WSDILLVC05R0200A,Semilavorato Anice stellato frutto e.s.,20
WSDPPVRC38R0200A,Semilavorato Papavero Rosso fiore e.s.   D/E 2:1,20
WSDRHMFC0207000A,Semilavorato Frangula corteccia e.s.>=7% glucofranguline calcolate come glucofrangulina A,20
WSDJNPCC01R0300A,Semilavorato Ginepro bacche              e.s.,20
WSDGRFSC1718000A,Semilavorato Griffonia seme e.s.         18-23% 5-HTP,20
WSDPHSVL12R0200A,Semilavorato Fagiolo baccello e.s. Local,20
WSDARCLC14R0400N,Semilavorato Bardana radice e.s.         D/E 4:1,20
WSDVLROC14R0400A,Semilavorato Valeriana radice estratto    secco acquoso D/E 4:1,20
WSDGRFSC1725000A,Semilavorato Griffonia seme e.s. >=25%   5-HTP,20
WSDGNTNC14R0400A,Semilavorato Genziana radice e.s.        D/E 4:1,20
